split,phase,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
nonstationary_deployment_shift,late,knn_repair_memory_v4,160,0.200000,0.062175,0.154789,0.012332,0.325000,0.072803,0.163955,0.022921,0.540249,0.229427,0.000000,0.122191
nonstationary_deployment_shift,late,last_repair_memory,160,0.137500,0.053529,0.173040,0.013635,0.312500,0.072047,0.177972,0.023739,0.055556,0.160000,0.000000,0.142343
nonstationary_deployment_shift,late,online_ridge_residual,80,0.175000,0.083789,0.159697,0.019976,0.400000,0.108031,0.190520,0.032965,0.920000,0.154793,0.000000,0.123321
nonstationary_deployment_shift,middle,corm_limited_memory,88,0.068182,0.052966,0.179031,0.018558,0.431818,0.104086,0.210687,0.030397,0.400298,0.162061,0.022727,0.152811
nonstationary_deployment_shift,middle,corm_no_context,88,0.034091,0.038131,0.183516,0.019586,0.488636,0.105040,0.231860,0.031525,0.398646,0.167509,0.011364,0.155085
nonstationary_deployment_shift,middle,corm_no_safety,176,0.045455,0.030862,0.176787,0.012395,0.443182,0.073601,0.211687,0.021396,0.413135,0.158380,0.000000,0.156055
nonstationary_deployment_shift,middle,corm_no_uncertainty,176,0.011364,0.015704,0.209400,0.016720,0.318182,0.069010,0.205357,0.019915,0.920000,0.148910,0.125000,0.128233
nonstationary_deployment_shift,middle,corm_repair_memory_v5,176,0.045455,0.030862,0.184533,0.013660,0.454545,0.073774,0.222705,0.021732,0.411211,0.159921,0.011364,0.152831
nonstationary_deployment_shift,middle,global_average_repair,176,0.056818,0.034299,0.177448,0.011046,0.477273,0.074004,0.222340,0.022073,0.435382,0.227022,0.000000,0.151859
nonstationary_deployment_shift,middle,knn_repair_memory_v4,176,0.045455,0.030862,0.176562,0.012153,0.511364,0.074062,0.231781,0.022020,0.456566,0.242803,0.000000,0.152020
nonstationary_deployment_shift,middle,last_repair_memory,176,0.045455,0.030862,0.176314,0.011801,0.465909,0.073909,0.217515,0.022497,0.055556,0.160000,0.000000,0.161640
nonstationary_deployment_shift,middle,online_ridge_residual,88,0.056818,0.048645,0.173081,0.015892,0.363636,0.101084,0.183364,0.027725,0.920000,0.157371,0.000000,0.142100
obstacle_shift,early,corm_no_safety,88,0.045455,0.043771,0.163258,0.014723,0.375000,0.101731,0.164076,0.027711,0.223415,0.181855,0.000000,0.100162
obstacle_shift,early,corm_no_uncertainty,88,0.056818,0.048645,0.187571,0.018626,0.284091,0.094766,0.161192,0.026884,0.535000,0.183075,0.011364,0.093505
obstacle_shift,early,corm_repair_memory_v5,88,0.045455,0.043771,0.163258,0.014723,0.375000,0.101731,0.164076,0.027711,0.223415,0.181855,0.000000,0.100162
obstacle_shift,early,global_average_repair,88,0.045455,0.043771,0.164397,0.014062,0.397727,0.102846,0.172370,0.029189,0.197238,0.161520,0.000000,0.107744
obstacle_shift,early,knn_repair_memory_v4,88,0.056818,0.048645,0.166452,0.014117,0.397727,0.102846,0.174420,0.028707,0.144264,0.207802,0.000000,0.108441
obstacle_shift,early,last_repair_memory,88,0.045455,0.043771,0.166475,0.014208,0.397727,0.102846,0.174396,0.028735,0.050505,0.168182,0.000000,0.113761
obstacle_shift,early,online_ridge_residual,88,0.045455,0.043771,0.172498,0.015739,0.340909,0.099607,0.163221,0.026865,0.535000,0.185116,0.000000,0.098184
obstacle_shift,late,corm_no_safety,80,0.012500,0.024500,0.166715,0.016072,0.362500,0.106008,0.164097,0.030921,0.582783,0.115260,0.000000,0.082162
obstacle_shift,late,corm_no_uncertainty,80,0.050000,0.048061,0.214718,0.023489,0.137500,0.075940,0.144085,0.023946,0.920000,0.101506,0.050000,0.055502
obstacle_shift,late,corm_repair_memory_v5,80,0.012500,0.024500,0.188361,0.021570,0.237500,0.093841,0.147821,0.026247,0.598868,0.111632,0.037500,0.071439
obstacle_shift,late,global_average_repair,80,0.025000,0.034428,0.171345,0.015804,0.425000,0.109011,0.188008,0.030069,0.522257,0.180294,0.000000,0.114386
obstacle_shift,late,knn_repair_memory_v4,80,0.012500,0.024500,0.170414,0.014940,0.412500,0.108557,0.182789,0.029266,0.596616,0.179695,0.000000,0.089246
obstacle_shift,late,last_repair_memory,80,0.025000,0.034428,0.178612,0.015457,0.412500,0.108557,0.191609,0.029601,0.055556,0.160000,0.000000,0.122406
obstacle_shift,late,online_ridge_residual,80,0.050000,0.048061,0.178673,0.017575,0.312500,0.102212,0.160938,0.027549,0.920000,0.117115,0.000000,0.076725
obstacle_shift,middle,corm_no_safety,88,0.068182,0.052966,0.176334,0.017555,0.306818,0.096908,0.164493,0.029420,0.499549,0.124494,0.000000,0.101336
obstacle_shift,middle,corm_no_uncertainty,88,0.056818,0.048645,0.209008,0.023137,0.102273,0.063672,0.134682,0.022198,0.920000,0.112764,0.022727,0.064163
obstacle_shift,middle,corm_repair_memory_v5,88,0.068182,0.052966,0.180138,0.018111,0.272727,0.093586,0.157653,0.028488,0.505627,0.122983,0.022727,0.093126
obstacle_shift,middle,global_average_repair,88,0.056818,0.048645,0.169722,0.016831,0.363636,0.101084,0.175027,0.029018,0.503411,0.179156,0.000000,0.116464
obstacle_shift,middle,knn_repair_memory_v4,88,0.056818,0.048645,0.178619,0.017535,0.318182,0.097874,0.170340,0.029922,0.503104,0.196968,0.000000,0.112016
obstacle_shift,middle,last_repair_memory,88,0.056818,0.048645,0.176889,0.015960,0.329545,0.098773,0.172029,0.028708,0.055556,0.160000,0.000000,0.122156
obstacle_shift,middle,online_ridge_residual,88,0.056818,0.048645,0.190668,0.018336,0.250000,0.090991,0.161654,0.028682,0.920000,0.126188,0.000000,0.097115
