phase,split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
late,nominal,global_average_repair,80,0.462500,0.109948,0.079561,0.010964,0.225000,0.092084,0.077994,0.026442,0.617553,0.122031,0.000000,0.039123
late,nominal,knn_repair_memory_v4,80,0.412500,0.108557,0.080228,0.010493,0.225000,0.092084,0.078272,0.027204,0.647295,0.135695,0.000000,0.034515
late,nominal,last_repair_memory,80,0.475000,0.110121,0.080374,0.010100,0.212500,0.090208,0.075116,0.026049,0.055556,0.160000,0.000000,0.040811
late,nominal,nominal_mpc,80,0.450000,0.109706,0.082925,0.010443,0.212500,0.090208,0.077640,0.026217,0.000000,0.000000,0.000000,0.041507
late,nominal,online_ridge_residual,80,0.350000,0.105180,0.088713,0.010266,0.200000,0.088207,0.078893,0.025976,0.920000,0.085579,0.000000,0.036194
late,nominal,oracle_hidden_deployment,80,0.637500,0.106008,0.069503,0.009362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042323
late,nominal,random_candidate,80,0.025000,0.034428,0.248800,0.025676,0.450000,0.109706,0.314949,0.037148,0.000000,0.000000,0.000000,0.059947
late,nominal,robust_worst_case_mpc,80,0.275000,0.098464,0.106397,0.010818,0.125000,0.072929,0.073538,0.022149,0.000000,0.000000,0.000000,0.037213
late,nonstationary_deployment_shift,corm_no_safety,80,0.175000,0.083789,0.157021,0.019116,0.337500,0.104273,0.170098,0.032416,0.489552,0.164194,0.000000,0.126863
late,nonstationary_deployment_shift,corm_no_uncertainty,80,0.112500,0.069679,0.188173,0.023011,0.187500,0.086071,0.155091,0.024608,0.920000,0.144414,0.075000,0.108959
late,nonstationary_deployment_shift,corm_repair_memory_v5,80,0.175000,0.083789,0.161844,0.019778,0.325000,0.103285,0.171294,0.033160,0.479965,0.165954,0.025000,0.132631
late,nonstationary_deployment_shift,global_average_repair,80,0.187500,0.086071,0.161656,0.018303,0.362500,0.106008,0.181838,0.033879,0.455942,0.223902,0.000000,0.134551
late,nonstationary_deployment_shift,knn_repair_memory_v4,80,0.200000,0.088207,0.154789,0.017495,0.325000,0.103285,0.163955,0.032518,0.540249,0.229427,0.000000,0.122191
late,nonstationary_deployment_shift,last_repair_memory,80,0.137500,0.075940,0.173040,0.019344,0.312500,0.102212,0.177972,0.033678,0.055556,0.160000,0.000000,0.142343
late,nonstationary_deployment_shift,nominal_mpc,80,0.137500,0.075940,0.173624,0.019474,0.312500,0.102212,0.178597,0.033486,0.000000,0.000000,0.000000,0.141704
late,nonstationary_deployment_shift,online_ridge_residual,80,0.175000,0.083789,0.159697,0.019976,0.400000,0.108031,0.190520,0.032965,0.920000,0.154793,0.000000,0.123321
late,nonstationary_deployment_shift,oracle_hidden_deployment,80,0.450000,0.109706,0.088787,0.013391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133218
late,nonstationary_deployment_shift,random_candidate,80,0.012500,0.024500,0.249265,0.022985,0.525000,0.110121,0.318380,0.037681,0.000000,0.000000,0.000000,0.140448
late,nonstationary_deployment_shift,robust_worst_case_mpc,80,0.150000,0.078740,0.159958,0.017058,0.262500,0.097026,0.148908,0.030726,0.000000,0.000000,0.000000,0.103647
late,obstacle_shift,corm_no_safety,80,0.012500,0.024500,0.166715,0.016072,0.362500,0.106008,0.164097,0.030921,0.582783,0.115260,0.000000,0.082162
late,obstacle_shift,corm_no_uncertainty,80,0.050000,0.048061,0.214718,0.023489,0.137500,0.075940,0.144085,0.023946,0.920000,0.101506,0.050000,0.055502
late,obstacle_shift,corm_repair_memory_v5,80,0.012500,0.024500,0.188361,0.021570,0.237500,0.093841,0.147821,0.026247,0.598868,0.111632,0.037500,0.071439
late,obstacle_shift,global_average_repair,80,0.025000,0.034428,0.171345,0.015804,0.425000,0.109011,0.188008,0.030069,0.522257,0.180294,0.000000,0.114386
late,obstacle_shift,knn_repair_memory_v4,80,0.012500,0.024500,0.170414,0.014940,0.412500,0.108557,0.182789,0.029266,0.596616,0.179695,0.000000,0.089246
late,obstacle_shift,last_repair_memory,80,0.025000,0.034428,0.178612,0.015457,0.412500,0.108557,0.191609,0.029601,0.055556,0.160000,0.000000,0.122406
late,obstacle_shift,nominal_mpc,80,0.025000,0.034428,0.179057,0.015410,0.412500,0.108557,0.191889,0.029688,0.000000,0.000000,0.000000,0.124289
late,obstacle_shift,online_ridge_residual,80,0.050000,0.048061,0.178673,0.017575,0.312500,0.102212,0.160938,0.027549,0.920000,0.117115,0.000000,0.076725
late,obstacle_shift,oracle_hidden_deployment,80,0.325000,0.103285,0.111785,0.013164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140043
late,obstacle_shift,random_candidate,80,0.000000,0.000000,0.264905,0.026146,0.525000,0.110121,0.311774,0.035355,0.000000,0.000000,0.000000,0.119035
late,obstacle_shift,robust_worst_case_mpc,80,0.025000,0.034428,0.177959,0.015127,0.362500,0.106008,0.174381,0.027416,0.000000,0.000000,0.000000,0.104508
middle,actuation_bias_shift,corm_no_safety,88,0.136364,0.072113,0.132798,0.014072,0.329545,0.098773,0.149801,0.028563,0.512536,0.120370,0.000000,0.087386
middle,actuation_bias_shift,corm_no_uncertainty,88,0.147727,0.074562,0.157219,0.019283,0.250000,0.090991,0.150179,0.029434,0.920000,0.118500,0.034091,0.075786
middle,actuation_bias_shift,corm_repair_memory_v5,88,0.136364,0.072113,0.143645,0.016791,0.261364,0.092328,0.140247,0.028165,0.522630,0.119593,0.011364,0.086859
middle,actuation_bias_shift,global_average_repair,88,0.125000,0.069495,0.143472,0.016450,0.363636,0.101084,0.171090,0.030580,0.519661,0.168055,0.000000,0.114260
middle,actuation_bias_shift,knn_repair_memory_v4,88,0.125000,0.069495,0.141228,0.015372,0.318182,0.097874,0.155126,0.029282,0.515925,0.182379,0.000000,0.104056
middle,actuation_bias_shift,last_repair_memory,88,0.102273,0.063672,0.157672,0.020616,0.340909,0.099607,0.178669,0.034789,0.055556,0.160000,0.000000,0.134241
middle,actuation_bias_shift,nominal_mpc,88,0.090909,0.060409,0.160835,0.020529,0.352273,0.100376,0.185147,0.034893,0.000000,0.000000,0.000000,0.135613
middle,actuation_bias_shift,online_ridge_residual,88,0.181818,0.081048,0.135547,0.017864,0.306818,0.096908,0.145719,0.029008,0.920000,0.121190,0.000000,0.086427
middle,actuation_bias_shift,oracle_hidden_deployment,88,0.534091,0.104823,0.082592,0.010809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101055
middle,actuation_bias_shift,random_candidate,88,0.011364,0.022273,0.245915,0.023358,0.534091,0.104823,0.324901,0.035170,0.000000,0.000000,0.000000,0.154562
middle,actuation_bias_shift,robust_worst_case_mpc,88,0.125000,0.069495,0.156033,0.017715,0.272727,0.093586,0.154946,0.030083,0.000000,0.000000,0.000000,0.109748
middle,combined_shift,corm_no_safety,88,0.125000,0.069495,0.161351,0.017887,0.465909,0.104823,0.207245,0.030887,0.477988,0.138161,0.000000,0.125314
middle,combined_shift,corm_no_uncertainty,88,0.090909,0.060409,0.203903,0.026806,0.272727,0.093586,0.191952,0.030728,0.920000,0.136674,0.113636,0.097379
middle,combined_shift,corm_repair_memory_v5,88,0.090909,0.060409,0.194990,0.020800,0.340909,0.099607,0.203475,0.028625,0.464078,0.136181,0.022727,0.119277
middle,combined_shift,global_average_repair,88,0.056818,0.048645,0.186820,0.017863,0.431818,0.104086,0.223256,0.032234,0.439182,0.223309,0.000000,0.163655
middle,combined_shift,knn_repair_memory_v4,88,0.079545,0.056860,0.177459,0.017923,0.397727,0.102846,0.203577,0.031577,0.466024,0.231801,0.000000,0.142840
middle,combined_shift,last_repair_memory,88,0.045455,0.043771,0.193223,0.018642,0.454545,0.104632,0.236038,0.032760,0.055556,0.160000,0.000000,0.176485
middle,combined_shift,nominal_mpc,88,0.056818,0.048645,0.196703,0.019426,0.477273,0.104958,0.246405,0.033431,0.000000,0.000000,0.000000,0.182167
middle,combined_shift,online_ridge_residual,88,0.125000,0.069495,0.165804,0.020772,0.454545,0.104632,0.208559,0.032230,0.920000,0.144786,0.000000,0.118116
middle,combined_shift,oracle_hidden_deployment,88,0.465909,0.104823,0.088139,0.013062,0.022727,0.031317,0.000000,0.000000,0.000000,0.000000,0.000000,0.128908
middle,combined_shift,random_candidate,88,0.000000,0.000000,0.250656,0.022482,0.352273,0.100376,0.262577,0.033988,0.000000,0.000000,0.000000,0.157460
middle,combined_shift,robust_worst_case_mpc,88,0.068182,0.052966,0.194900,0.017416,0.363636,0.101084,0.208838,0.029821,0.000000,0.000000,0.000000,0.153233
middle,heavy_object_shift,corm_no_safety,88,0.318182,0.097874,0.106538,0.013133,0.340909,0.099607,0.137489,0.031744,0.534318,0.111675,0.000000,0.069929
middle,heavy_object_shift,corm_no_uncertainty,88,0.250000,0.090991,0.133888,0.020054,0.215909,0.086460,0.127376,0.027527,0.920000,0.111123,0.034091,0.058520
middle,heavy_object_shift,corm_repair_memory_v5,88,0.306818,0.096908,0.113993,0.016375,0.261364,0.092328,0.121042,0.027693,0.556973,0.108166,0.011364,0.062209
middle,heavy_object_shift,global_average_repair,88,0.284091,0.094766,0.113267,0.013296,0.340909,0.099607,0.144475,0.031181,0.526741,0.161858,0.000000,0.094621
middle,heavy_object_shift,knn_repair_memory_v4,88,0.284091,0.094766,0.114217,0.013105,0.352273,0.100376,0.148786,0.031834,0.525547,0.172652,0.000000,0.080828
middle,heavy_object_shift,last_repair_memory,88,0.261364,0.092328,0.125645,0.013869,0.352273,0.100376,0.160225,0.032386,0.055556,0.160000,0.000000,0.103781
middle,heavy_object_shift,nominal_mpc,88,0.284091,0.094766,0.122229,0.014025,0.340909,0.099607,0.153350,0.031993,0.000000,0.000000,0.000000,0.101424
middle,heavy_object_shift,online_ridge_residual,88,0.261364,0.092328,0.112945,0.013660,0.306818,0.096908,0.133784,0.029992,0.920000,0.112195,0.000000,0.062745
middle,heavy_object_shift,oracle_hidden_deployment,88,0.647727,0.100376,0.071315,0.011421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086455
middle,heavy_object_shift,random_candidate,88,0.045455,0.043771,0.251463,0.024312,0.443182,0.104386,0.313576,0.038496,0.000000,0.000000,0.000000,0.095256
middle,heavy_object_shift,robust_worst_case_mpc,88,0.181818,0.081048,0.132966,0.012686,0.227273,0.088061,0.128850,0.027397,0.000000,0.000000,0.000000,0.072310
middle,high_friction_shift,corm_no_safety,88,0.159091,0.076859,0.138135,0.015781,0.295455,0.095873,0.148360,0.031766,0.494814,0.140502,0.000000,0.093874
middle,high_friction_shift,corm_no_uncertainty,88,0.125000,0.069495,0.164959,0.018951,0.193182,0.082960,0.144605,0.026346,0.920000,0.138638,0.022727,0.089870
middle,high_friction_shift,corm_repair_memory_v5,88,0.159091,0.076859,0.140693,0.017116,0.272727,0.093586,0.144201,0.030840,0.493042,0.141640,0.011364,0.095255
middle,high_friction_shift,global_average_repair,88,0.079545,0.056860,0.146520,0.012427,0.329545,0.098773,0.167043,0.031376,0.481614,0.191669,0.000000,0.121389
middle,high_friction_shift,knn_repair_memory_v4,88,0.147727,0.074562,0.138073,0.011993,0.284091,0.094766,0.144905,0.032034,0.500127,0.199799,0.000000,0.098841
middle,high_friction_shift,last_repair_memory,88,0.068182,0.052966,0.159228,0.012721,0.329545,0.098773,0.179723,0.033422,0.055556,0.160000,0.000000,0.137726
middle,high_friction_shift,nominal_mpc,88,0.045455,0.043771,0.160928,0.012655,0.329545,0.098773,0.181178,0.032941,0.000000,0.000000,0.000000,0.140803
middle,high_friction_shift,online_ridge_residual,88,0.113636,0.066690,0.156833,0.018897,0.306818,0.096908,0.170824,0.031641,0.920000,0.149040,0.000000,0.112871
middle,high_friction_shift,oracle_hidden_deployment,88,0.534091,0.104823,0.078914,0.009898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101931
middle,high_friction_shift,random_candidate,88,0.022727,0.031317,0.265424,0.024831,0.500000,0.105067,0.336829,0.040366,0.000000,0.000000,0.000000,0.132395
middle,high_friction_shift,robust_worst_case_mpc,88,0.056818,0.048645,0.171213,0.013675,0.204545,0.084762,0.152334,0.026780,0.000000,0.000000,0.000000,0.116386
middle,light_object_shift,corm_no_safety,88,0.102273,0.063672,0.135199,0.011270,0.306818,0.096908,0.141744,0.026462,0.540319,0.117763,0.000000,0.088123
middle,light_object_shift,corm_no_uncertainty,88,0.193182,0.082960,0.150523,0.020297,0.238636,0.089570,0.135974,0.028682,0.920000,0.116172,0.068182,0.066111
middle,light_object_shift,corm_repair_memory_v5,88,0.102273,0.063672,0.139212,0.013465,0.295455,0.095873,0.142246,0.026810,0.532841,0.118468,0.011364,0.088675
middle,light_object_shift,global_average_repair,88,0.079545,0.056860,0.131755,0.011481,0.397727,0.102846,0.165491,0.028462,0.511304,0.172543,0.000000,0.098045
middle,light_object_shift,knn_repair_memory_v4,88,0.113636,0.066690,0.138599,0.012961,0.352273,0.100376,0.158862,0.029180,0.504774,0.195028,0.000000,0.098962
middle,light_object_shift,last_repair_memory,88,0.011364,0.022273,0.160957,0.013868,0.386364,0.102318,0.192431,0.027628,0.055556,0.160000,0.000000,0.132850
middle,light_object_shift,nominal_mpc,88,0.011364,0.022273,0.172861,0.016807,0.397727,0.102846,0.208121,0.028923,0.000000,0.000000,0.000000,0.142640
middle,light_object_shift,online_ridge_residual,88,0.238636,0.089570,0.123326,0.013889,0.272727,0.093586,0.118797,0.026510,0.920000,0.116181,0.000000,0.067299
middle,light_object_shift,oracle_hidden_deployment,88,0.511364,0.105040,0.086659,0.011523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124145
middle,light_object_shift,random_candidate,88,0.011364,0.022273,0.334332,0.036999,0.511364,0.105040,0.403360,0.036481,0.000000,0.000000,0.000000,0.171276
middle,light_object_shift,robust_worst_case_mpc,88,0.102273,0.063672,0.147467,0.014598,0.261364,0.092328,0.139708,0.025467,0.000000,0.000000,0.000000,0.115548
middle,low_friction_shift,corm_no_safety,88,0.193182,0.082960,0.126845,0.014338,0.340909,0.099607,0.144500,0.027936,0.531894,0.123046,0.000000,0.077968
middle,low_friction_shift,corm_no_uncertainty,88,0.215909,0.086460,0.144181,0.021657,0.238636,0.089570,0.130416,0.025941,0.920000,0.117581,0.022727,0.063057
middle,low_friction_shift,corm_repair_memory_v5,88,0.193182,0.082960,0.133797,0.016977,0.306818,0.096908,0.141097,0.026599,0.532543,0.122672,0.022727,0.073804
middle,low_friction_shift,global_average_repair,88,0.181818,0.081048,0.126618,0.013607,0.329545,0.098773,0.140815,0.028552,0.540602,0.153996,0.000000,0.086932
middle,low_friction_shift,knn_repair_memory_v4,88,0.170455,0.079017,0.126181,0.013763,0.284091,0.094766,0.126554,0.027223,0.518990,0.177510,0.000000,0.078949
middle,low_friction_shift,last_repair_memory,88,0.102273,0.063672,0.138186,0.012780,0.340909,0.099607,0.156185,0.026471,0.055556,0.160000,0.000000,0.101202
middle,low_friction_shift,nominal_mpc,88,0.102273,0.063672,0.138444,0.012698,0.340909,0.099607,0.156443,0.026513,0.000000,0.000000,0.000000,0.101674
middle,low_friction_shift,online_ridge_residual,88,0.215909,0.086460,0.131965,0.016108,0.295455,0.095873,0.135485,0.027002,0.920000,0.124885,0.000000,0.078408
middle,low_friction_shift,oracle_hidden_deployment,88,0.511364,0.105040,0.085830,0.011999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104691
middle,low_friction_shift,random_candidate,88,0.000000,0.000000,0.250251,0.024945,0.511364,0.105040,0.319527,0.030640,0.000000,0.000000,0.000000,0.103426
middle,low_friction_shift,robust_worst_case_mpc,88,0.159091,0.076859,0.118807,0.012762,0.318182,0.097874,0.128718,0.026593,0.000000,0.000000,0.000000,0.087367
middle,nominal,corm_no_safety,88,0.329545,0.098773,0.099977,0.009958,0.159091,0.076859,0.065072,0.022353,0.568009,0.102393,0.000000,0.035099
middle,nominal,corm_no_uncertainty,88,0.295455,0.095873,0.106403,0.012588,0.090909,0.060409,0.050630,0.018288,0.920000,0.098240,0.011364,0.032549
middle,nominal,corm_repair_memory_v5,88,0.329545,0.098773,0.103741,0.012169,0.125000,0.069495,0.058439,0.020919,0.568632,0.102097,0.011364,0.033039
middle,nominal,global_average_repair,88,0.363636,0.101084,0.098521,0.011057,0.215909,0.086460,0.081256,0.026355,0.589837,0.124332,0.000000,0.042446
middle,nominal,knn_repair_memory_v4,88,0.386364,0.102318,0.096001,0.010041,0.113636,0.066690,0.047296,0.019048,0.562627,0.140850,0.000000,0.034019
middle,nominal,last_repair_memory,88,0.352273,0.100376,0.099972,0.010514,0.204545,0.084762,0.078999,0.025305,0.055556,0.160000,0.000000,0.045265
middle,nominal,nominal_mpc,88,0.329545,0.098773,0.101532,0.010567,0.204545,0.084762,0.080498,0.025212,0.000000,0.000000,0.000000,0.045523
middle,nominal,online_ridge_residual,88,0.318182,0.097874,0.103859,0.011793,0.125000,0.069495,0.058490,0.020860,0.920000,0.099427,0.000000,0.032350
middle,nominal,oracle_hidden_deployment,88,0.534091,0.104823,0.082387,0.010197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038806
middle,nominal,random_candidate,88,0.034091,0.038131,0.244790,0.023834,0.477273,0.104958,0.305968,0.037173,0.000000,0.000000,0.000000,0.085899
middle,nominal,robust_worst_case_mpc,88,0.215909,0.086460,0.118635,0.010209,0.079545,0.056860,0.058732,0.017920,0.000000,0.000000,0.000000,0.033230
middle,nonstationary_deployment_shift,corm_no_safety,88,0.045455,0.043771,0.176787,0.017579,0.443182,0.104386,0.211687,0.030346,0.413135,0.158380,0.000000,0.156055
middle,nonstationary_deployment_shift,corm_no_uncertainty,88,0.011364,0.022273,0.209400,0.023713,0.318182,0.097874,0.205357,0.028245,0.920000,0.148910,0.125000,0.128233
middle,nonstationary_deployment_shift,corm_repair_memory_v5,88,0.045455,0.043771,0.184533,0.019374,0.454545,0.104632,0.222705,0.030822,0.411211,0.159921,0.011364,0.152831
middle,nonstationary_deployment_shift,global_average_repair,88,0.056818,0.048645,0.177448,0.015666,0.477273,0.104958,0.222340,0.031306,0.435382,0.227022,0.000000,0.151859
middle,nonstationary_deployment_shift,knn_repair_memory_v4,88,0.045455,0.043771,0.176562,0.017236,0.511364,0.105040,0.231781,0.031230,0.456566,0.242803,0.000000,0.152020
middle,nonstationary_deployment_shift,last_repair_memory,88,0.045455,0.043771,0.176314,0.016737,0.465909,0.104823,0.217515,0.031907,0.055556,0.160000,0.000000,0.161640
middle,nonstationary_deployment_shift,nominal_mpc,88,0.045455,0.043771,0.179044,0.017121,0.454545,0.104632,0.216808,0.031884,0.000000,0.000000,0.000000,0.158983
middle,nonstationary_deployment_shift,online_ridge_residual,88,0.056818,0.048645,0.173081,0.015892,0.363636,0.101084,0.183364,0.027725,0.920000,0.157371,0.000000,0.142100
middle,nonstationary_deployment_shift,oracle_hidden_deployment,88,0.397727,0.102846,0.099620,0.013424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128565
middle,nonstationary_deployment_shift,random_candidate,88,0.000000,0.000000,0.293337,0.028243,0.397727,0.102846,0.313933,0.037543,0.000000,0.000000,0.000000,0.160309
middle,nonstationary_deployment_shift,robust_worst_case_mpc,88,0.068182,0.052966,0.175591,0.015689,0.340909,0.099607,0.177523,0.027530,0.000000,0.000000,0.000000,0.125282
middle,obstacle_shift,corm_no_safety,88,0.068182,0.052966,0.176334,0.017555,0.306818,0.096908,0.164493,0.029420,0.499549,0.124494,0.000000,0.101336
middle,obstacle_shift,corm_no_uncertainty,88,0.056818,0.048645,0.209008,0.023137,0.102273,0.063672,0.134682,0.022198,0.920000,0.112764,0.022727,0.064163
middle,obstacle_shift,corm_repair_memory_v5,88,0.068182,0.052966,0.180138,0.018111,0.272727,0.093586,0.157653,0.028488,0.505627,0.122983,0.022727,0.093126
middle,obstacle_shift,global_average_repair,88,0.056818,0.048645,0.169722,0.016831,0.363636,0.101084,0.175027,0.029018,0.503411,0.179156,0.000000,0.116464
middle,obstacle_shift,knn_repair_memory_v4,88,0.056818,0.048645,0.178619,0.017535,0.318182,0.097874,0.170340,0.029922,0.503104,0.196968,0.000000,0.112016
middle,obstacle_shift,last_repair_memory,88,0.056818,0.048645,0.176889,0.015960,0.329545,0.098773,0.172029,0.028708,0.055556,0.160000,0.000000,0.122156
middle,obstacle_shift,nominal_mpc,88,0.068182,0.052966,0.173317,0.016352,0.318182,0.097874,0.164993,0.029347,0.000000,0.000000,0.000000,0.123576
middle,obstacle_shift,online_ridge_residual,88,0.056818,0.048645,0.190668,0.018336,0.250000,0.090991,0.161654,0.028682,0.920000,0.126188,0.000000,0.097115
middle,obstacle_shift,oracle_hidden_deployment,88,0.386364,0.102318,0.104556,0.014246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128808
middle,obstacle_shift,random_candidate,88,0.011364,0.022273,0.274766,0.026985,0.454545,0.104632,0.307366,0.032668,0.000000,0.000000,0.000000,0.139723
middle,obstacle_shift,robust_worst_case_mpc,88,0.034091,0.038131,0.174326,0.015232,0.284091,0.094766,0.154499,0.027858,0.000000,0.000000,0.000000,0.101051
